hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,min_degree_juror,max_degree_juror,avg_degree_non_juror
100,0.8,10,5,2,6,6,1106099904.0,24579.0,1.990587471600129,20.0,0.0,9.620000000000003,8.853932584269645,15.818181818181811,0.0,25.0
100,0.8,10,5,2,6,7,1085403648.0,24120.0,2.0249918857513767,30.0,0.0,9.440000000000024,8.831460674157286,14.36363636363634,0.0,25.0
100,0.8,10,5,2,6,8,1221079104.0,27135.0,1.9802012333657901,20.0,0.0,10.62,8.488888888888905,29.800000000000036,26.0,34.0
100,0.8,10,5,2,6,9,1294665792.0,28770.0,1.9833620195065946,20.0,0.0,11.259999999999993,9.933333333333309,23.20000000000001,0.0,33.0
100,0.8,10,5,2,6,10,1464835008.0,32551.0,1.9593691526329824,20.0,0.0,12.740000000000007,10.752808988764048,28.818181818181852,0.0,37.0
100,0.8,10,5,2,6,11,1237176192.0,27492.0,2.009697325888917,30.0,0.0,10.759999999999993,9.651685393258415,19.727272727272744,0.0,31.0
100,0.8,10,5,2,6,12,1083104064.0,24068.0,2.0519311911716964,30.0,0.0,9.41999999999999,8.550561797752827,16.454545454545478,0.0,31.0
100,0.8,10,5,2,7,6,1347556224.0,29945.0,1.9025316455696177,20.0,0.0,11.72000000000002,10.460674157303378,21.909090909090946,0.0,31.0
100,0.8,10,5,2,7,7,1441839168.0,32040.0,1.9173669467787129,20.0,0.0,12.539999999999981,11.92134831460673,17.54545454545452,0.0,31.0
100,0.8,10,5,2,7,8,1027914048.0,22842.0,1.9637826961770577,20.0,0.0,8.940000000000023,7.685393258426976,19.090909090909058,0.0,29.0
100,0.8,10,5,2,7,9,1529223360.0,33982.0,1.9061624649859914,20.0,0.0,13.299999999999976,11.584269662921322,27.18181818181816,0.0,37.0
100,0.8,10,5,2,7,10,1660299648.0,36895.0,1.9011746680286021,20.0,0.0,14.440000000000033,12.64044943820226,29.0,0.0,39.0
100,0.8,10,5,2,7,11,1324560384.0,29434.0,1.9272151898734158,20.0,0.0,11.519999999999989,10.044943820224718,23.45454545454548,0.0,34.0
100,0.8,10,5,2,7,12,1524624192.0,33880.0,1.9221288515406136,20.0,0.0,13.259999999999993,11.370786516853947,28.545454545454515,0.0,37.0
100,0.8,10,5,2,8,6,1276269120.0,28361.0,1.8987678987678955,20.0,0.0,11.100000000000007,11.588888888888881,6.700000000000005,0.0,20.0
100,0.8,10,5,2,8,7,1520025024.0,33778.0,1.8729202524383217,20.0,0.0,13.22000000000002,12.865168539325849,16.09090909090907,0.0,25.0
100,0.8,10,5,2,8,8,1306163712.0,29025.0,1.8759398496240562,20.0,0.0,11.36,10.595505617977544,17.54545454545452,0.0,28.0
100,0.8,10,5,2,8,9,1292366208.0,28719.0,1.8789473684210523,20.0,0.0,11.240000000000007,10.35955056179774,18.36363636363632,0.0,32.0
100,0.8,10,5,2,8,10,1209581184.0,26879.0,1.8987823439878204,20.0,0.0,10.519999999999989,9.808988764044926,16.272727272727256,0.0,29.0
100,0.8,10,5,2,8,11,1451037504.0,32245.0,1.8588078588078623,20.0,0.0,12.619999999999981,10.752808988764052,27.727272727272684,0.0,35.0
100,0.8,10,5,2,8,12,1669497984.0,37099.0,1.8568627450980364,20.0,0.0,14.519999999999984,12.775280898876415,28.636363636363637,0.0,36.0
100,0.8,10,5,2,9,6,1331459136.0,29587.0,1.838578304331727,20.0,0.0,11.580000000000005,11.179775280898868,14.818181818181815,0.0,24.0
100,0.8,10,5,2,9,7,1641902976.0,36486.0,1.8482501434308667,20.0,0.0,14.27999999999998,13.988764044943785,16.636363636363672,0.0,29.0
100,0.8,10,5,2,9,8,1572915456.0,34953.0,1.8367088607594981,20.0,0.0,13.68,12.370786516853947,24.272727272727288,0.0,35.0
100,0.8,10,5,2,9,9,1398147072.0,31069.0,1.8342342342342315,20.0,0.0,12.160000000000004,11.329670329670314,20.555555555555603,0.0,35.0
100,0.8,10,5,2,9,10,1437240000.0,31938.0,1.8352699931647296,20.0,0.0,12.500000000000002,12.134831460674151,15.45454545454548,0.0,29.0
100,0.8,10,5,2,9,11,1782177600.0,39603.0,1.8266106442577004,20.0,0.0,15.499999999999998,14.853932584269636,20.727272727272737,0.0,33.0
100,0.8,10,5,2,9,12,1455636672.0,32347.0,1.8301435406698578,20.0,0.0,12.660000000000007,12.000000000000002,18.59999999999997,0.0,30.0
100,0.8,10,5,2,10,6,1779878016.0,39552.0,1.7991568804576936,20.0,0.0,15.480000000000016,14.599999999999984,23.400000000000045,0.0,29.0
