hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,avg_degree_non_juror
100,0.9,10,5,1,1,1,363946944.0,8087.0,3.3118187033849718,40.0,1.0,2.819999999999995,7.72727272727274,2.213483146067411
100,0.9,10,5,1,1,2,384596416.0,8546.0,3.4503419972640264,40.0,0.0,2.9799999999999986,9.18181818181816,2.2134831460674116
100,0.9,10,5,1,1,3,376852864.0,8374.0,3.320728291316527,40.0,1.0,2.9199999999999973,9.799999999999983,2.155555555555559
100,0.9,10,5,1,1,4,451707200.0,10037.0,2.9196078431372525,30.0,0.0,3.4999999999999996,15.5,2.166666666666664
100,0.9,10,5,1,1,5,487843776.0,10840.0,2.821246169560772,30.0,0.0,3.7799999999999914,14.909090909090928,2.4044943820224756
100,0.9,10,5,1,1,6,513655616.0,11414.0,2.8941323345817733,30.0,0.0,3.980000000000004,16.09090909090907,2.4831460674157313
100,0.9,10,5,1,1,7,601415872.0,13364.0,2.635451505016726,30.0,0.0,4.66000000000001,21.363636363636324,2.5955056179775244
100,0.9,10,5,1,1,8,588509952.0,13077.0,2.7045348293595146,30.0,0.0,4.560000000000001,20.09090909090906,2.640449438202242
100,0.9,10,5,1,1,9,676270208.0,15028.0,2.6235162374020162,30.0,0.0,5.2400000000000055,25.636363636363647,2.719101123595501
100,0.9,10,5,1,1,10,627227712.0,13938.0,2.7068723702664736,30.0,0.0,4.86000000000001,23.54545454545452,2.5505617977528066
100,0.9,10,5,1,1,11,660783104.0,14684.0,2.6098059244126612,30.0,0.0,5.120000000000004,27.090909090909044,2.4044943820224756
100,0.9,10,5,1,2,1,508493248.0,11299.0,2.968809849521203,30.0,0.0,3.939999999999998,6.4545454545454595,3.6292134831460725
100,0.9,10,5,1,2,2,495587328.0,11013.0,3.075070028011206,40.0,0.0,3.8399999999999936,5.818181818181821,3.5955056179775315
100,0.9,10,5,1,2,3,673689024.0,14970.0,2.7087912087912094,30.0,0.0,5.2199999999999855,13.363636363636347,4.213483146067408
100,0.9,10,5,1,2,4,539467456.0,11988.0,2.993469174503655,30.0,0.0,4.180000000000003,7.299999999999992,3.833333333333329
100,0.9,10,5,1,2,5,758868096.0,16863.0,2.6235162374020162,30.0,0.0,5.879999999999996,17.636363636363672,4.426966292134823
100,0.9,10,5,1,2,6,805329408.0,17896.0,2.6681096681096714,30.0,0.0,6.240000000000006,18.20000000000003,4.911111111111101
100,0.9,10,5,1,2,7,795004672.0,17666.0,2.5401709401709454,30.0,0.0,6.160000000000005,21.272727272727266,4.292134831460671
100,0.9,10,5,1,2,8,820816512.0,18240.0,2.546750818139316,30.0,0.0,6.36000000000001,23.45454545454548,4.2471910112359454
100,0.9,10,5,1,2,9,815654144.0,18125.0,2.590940288263561,30.0,0.0,6.320000000000006,21.909090909090946,4.393258426966285
100,0.9,10,5,1,2,10,859534272.0,19100.0,2.5123321123321087,30.0,0.0,6.660000000000001,27.272727272727312,4.112359550561792
100,0.9,10,5,1,2,11,764030464.0,16978.0,2.6193531141406066,30.0,0.0,5.919999999999999,22.363636363636328,3.8876404494382073
100,0.9,10,5,1,3,1,735637440.0,16347.0,2.578369905956117,30.0,0.0,5.6999999999999975,8.799999999999985,5.355555555555558
100,0.9,10,5,1,3,2,854371904.0,18986.0,2.5046900022878105,30.0,0.0,6.620000000000004,11.545454545454529,6.011235955056188
100,0.9,10,5,1,3,3,849209536.0,18871.0,2.5023199023198988,30.0,0.0,6.58,11.72727272727274,5.943820224719096
100,0.9,10,5,1,3,4,931807424.0,20706.0,2.4317089910775564,30.0,0.0,7.219999999999996,16.400000000000023,6.200000000000001
100,0.9,10,5,1,3,5,838884800.0,18641.0,2.5191697191697227,30.0,0.0,6.5,12.0,5.82022471910113
100,0.9,10,5,1,3,6,918901504.0,20420.0,2.4726607183710865,30.0,0.0,7.120000000000004,17.66666666666669,6.0769230769230855
100,0.9,10,5,1,3,7,900833216.0,20018.0,2.5042735042735007,30.0,0.0,6.98000000000001,17.636363636363672,5.662921348314615
100,0.9,10,5,1,3,8,967944000.0,21509.0,2.399250936329592,30.0,0.0,7.499999999999999,23.18181818181818,5.561797752808997
100,0.9,10,5,1,3,9,942132160.0,20936.0,2.419560776302348,30.0,0.0,7.299999999999992,21.0,5.606741573033713
100,0.9,10,5,1,3,10,993755840.0,22083.0,2.402962206332995,30.0,0.0,7.70000000000001,23.272727272727284,5.775280898876414
100,0.9,10,5,1,3,11,895670848.0,19903.0,2.4814524555903863,30.0,0.0,6.940000000000014,21.200000000000024,5.355555555555558
100,0.9,10,5,1,4,1,1004080576.0,22312.0,2.352365026278073,30.0,0.0,7.779999999999982,8.27272727272726,7.719101123595496
100,0.9,10,5,1,4,2,988593472.0,21968.0,2.3408239700374565,30.0,0.0,7.659999999999997,10.27272727272726,7.337078651685382
100,0.9,10,5,1,4,3,1035054784.0,23001.0,2.305006105006102,30.0,0.0,8.019999999999989,13.272727272727257,7.370786516853936
100,0.9,10,5,1,4,4,975687552.0,21681.0,2.3426966292134863,30.0,0.0,7.559999999999983,12.545454545454527,6.943820224719088
100,0.9,10,5,1,4,5,955038080.0,21223.0,2.3263833199679254,30.0,0.0,7.399999999999986,12.181818181818171,6.808988764044939
100,0.9,10,5,1,4,6,1135720960.0,25238.0,2.289621318373067,30.0,0.0,8.799999999999988,20.29999999999997,7.522222222222232
