reward_address,reward,total_weights
ce56a68cf333c330229bdb3b2ae722eb8f2b36acb0620d500a467d99,3192.1875,10215
25125e9bb305fafd51ceb2858d355f77da99550b933ec0923cd156ff,2515.0,8048
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,1671.5625,5349
455d58fabc17c64aa96854d60272aac044b8547632a7ba0e7545c2a6,890.625,2850
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,789.375,2526
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,669.0625,2141
21469f889f1725a1682b80fe6f76ed59caf5d3f8c1111edc7680caf2,564.375,1806
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,443.4375,1419
64e37562f190ae58127b0b81492ee62cfab836a67717a6a199af71ca,438.75,1404
8f2d03c817c3d36a864c99a27f6b6179eb1898a631bc007a7e0ffa39,371.25,1188
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,359.6875,1151
36c59c7780546179d7f80729e1ccc3932260b849bc519b2120074169,333.75,1068
b04e04bc40a91b4d891e8f05564b0d839dc8b4e45ee32852d36125f7,319.6875,1023
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,230.625,738
29d39df70bb8d635120c4e82e3907c79a1aa4420e271ad32b5258eb7,224.0625,717
33e46c081295cbdabee9a614b504617689a61194f2febc7e83033920,223.125,714
cad9c3ef890cc24759e5955de7974c074033e3fcfb25c115edda4c37,215.625,690
9d9fc3f689fbf3bb0e5b2c9dd8e1bbd004c6bc7641ebbd3a548a33be,211.875,678
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,184.6875,591
40e3c0978d05b13caa55e714d80951a8d88ea8a0cd45ce165c589ba1,178.75,572
f82ed723a9679a66095edb10478d3ebb900436f59792b56b07cdad7b,176.25,564
ba50c90230ddc99cfba6ccea881f5e91b3145aedbfd51c1fff84adeb,154.6875,495
aea6d9acd93150872e050ef2336f143591d9b1ca9d4c475471f7fb8d,144.375,462
b7b535dc35d62b5adc0b7e1f302b0f737018f3a1aa8ed3bedf2bb248,143.125,458
f77c2084a7deafd8501c88a99e819d4eb4f9da165ac4e7b206ca3113,138.75,444
db3526b10ae09bc64666c3b47cac3f377186d099349d256cecad6a4d,121.875,390
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,120.0,384
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,117.1875,375
5273518ec90b82a2bd6aa68f9ae75a85b59a9398ab8054237201667a,117.1875,375
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,117.1875,375
1c2be3e80e3208cb1ab279c6883bcda2ba809c9e0bda0e3d65e96e3c,116.25,372
b7d255403385a4b5f8c8d2666503d8722054ddb95f752a522c3b0803,116.25,372
13c711d6fd2e8f5d69e25058b11a704112bba4afac5f321bf3332fb0,115.3125,369
449e3714c5819c449db716267988b1fb747d2e37d240ef7ce8b0bd24,115.3125,369
a6e8b8cc5fb4d6aed794b71288e50ea16f0580df7b71d91671309b4a,115.3125,369
b7745756c4cb08d88fc046eea343a9976e284e0afb1aef79e86ccf93,115.3125,369
da505dbbc7dfe2c1097c6fea30d703fef6103fc26741f91aefd32ed4,115.3125,369
162662f1e1886146a46607c8fce964bff7397aba5ed56ca0a9b0c541,114.375,366
ff0fa1920a60f265367e04f8615e5402a4c75c48e92b44199b335b13,114.375,366
0abcb99486dc0a9cb616bbadab8b04e8d13f0146325bf80a8a859815,113.4375,363
47ecd07483b32b8f8076e318395b8dd1a8b078c41cc66bcecaec08e6,113.4375,363
7cfaa2481614d4c1f9c0c2585f4eabae6533f6ce17c2c2e79d6453ec,113.4375,363
2e892da8f6af3187c349a03358598f77b84384f9131dca82ddaeff1e,112.5,360
64f3f4ed81973a476e27d0b1136111e65a74755e11b426cb45eb648f,112.5,360
797efd8ee0bbdaea68bbc92dd38c6de70662fa72ae641420dd490ffc,112.5,360
e07a67b1226bb0d485f18054b826daeaffaddd4f221c5e10ccb8ba48,112.5,360
46ea67e5727320d14e08900acfac659d1847e746bcf2a598c77a8c93,111.5625,357
9ca8b0a3a809ad8feea2cbf6f778f2e813f357756c1fd0efb629d520,111.5625,357
fe6c23eae26ef3113b452faa73ea31d86c1eb0a7254ea9cb57e2db10,111.5625,357
0b73d94ccfd933cddb770d2add14a41340779da21b60d7f7f66c8ba5,110.625,354
2e8fbe3119115f19a8a09bc73809b928b589c024d4054b255d8a51ec,110.625,354
91490910914bbfc3a4de146a12cb82d8725bc8bdaa8c8860bf3deffc,110.625,354
9f244427a636a8f09d318ba338fb3ca087433c6675c2bdd8009915a7,110.625,354
d6591aef0d618b7c3abb2770dee41d3f0e58aebdc55426bb264497fe,110.625,354
8b1ca22f2fc53d13187589085bc6c5076937d1c1ddae170d64392f6d,109.6875,351
fa5fde3b5288471efabd12c9e32cf6d763cad638c11bb5d3d6bd36ce,109.6875,351
1e270dd6ecfbea07c760ae4b9b6b70f6cf75ae8ad4336a8e6d3a21d0,107.8125,345
437d06abe09945a57ae8aa70c3eba791f8414071a2dc7228064aac33,107.8125,345
d42edda007353f187ec4f2559411c84fc1e67610568b28b6072dae68,107.8125,345
e81cebb60948a865fbe250f93c37085d239220362b85d2e465d1ec2f,107.8125,345
f3343c459930f6b3cc948d6336b832829ac6495db50ae0440953c2a2,107.8125,345
2d8810abd7c4b5c165686f2a4615bccfd4253f4667ed1662289dab7c,106.875,342
9d20ccfcbc31a46629c91bd09c3dc4b89e7870e2bac0fa2d58cbb231,106.875,342
f52555a4c506b23fcb34935adb245b33f4cae3537d995f47211dcc62,106.875,342
0a2df6c7ee23224296e5bc0fad73d3b4e6aca048672e7891200c25ba,105.9375,339
0b4e60b83a3cbdf899d6110b45e07dfbaeffcba8d139d7d57d61fff6,105.9375,339
2614472ba8cc4448230318b2b849bcaa8c714e8fdbfffa33cec385e6,105.9375,339
4097c277a1e32c3e807cc30d8e6f04899b2624f555710ab8cca391ae,105.9375,339
a8bad012160bed7b93d25364d26e641ff6ee9fa3e5b25d23834797c1,105.9375,339
498c7180b92a79f45875d8105bff02757cd763a5bad40b1774f6cb3b,105.0,336
9200f766fd9d5952bd1cc38755015fd805de65686e3233190529a273,105.0,336
ca88fa4206698ccab9e365707b5dae06cf41f4c9293398295ff4ae4e,105.0,336
054c42fa4d7fdd53b8cb40838a671e4e6bea3d4b19655d705be86b11,104.0625,333
0733cc064f971f6b8136af36a94e2426f2d4ebcc4f57232d0ddf63c3,104.0625,333
c5956cf2ada13588834ad6e662c6503e982a02515022f038aacf5024,104.0625,333
dabdd558c0a606eb12c64bdac003a3b8556d940e3fa156ec9414a1c8,104.0625,333
2fd86133997a6768ce3afe8f409559d505e4bfea5d5d7657d9e7f3dd,103.125,330
beb6a6c706a87d84df3c03cc9a9d85b1df3bf027d1c21e18e2dce69d,103.125,330
dcdfb8405f3e403cb4e46eb86c95c3364ffa827811b4ef45d6b5ab39,103.125,330
e31488ec1a2283014a3b6973501f7b1d51ed298bf08f994051ad1f22,103.125,330
fbe5f3d988447338662c41caca9ff0c6a50882acc261235afc37198a,100.3125,321
2f09f8a613c12b37005b73bed6ca59c03bba3c24cbb749af0fffa40e,99.375,318
5615f818693f67c5f24c6cbb7f03600fc5c82f59607ecc678839c275,91.875,294
7d5c2999f9a2e44c23e7b2b73b4c0edae308e9d39482bf44da481edc,88.125,282
