reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,11571.109850347093,35637,243
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,1225.3940728795894,3774,24
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,711.0792314802069,2190,15
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,448.0773239464317,1380,9
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,413.98448408094237,1275,6
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,289.30209828715266,891,6
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,157.8011445202651,486,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,156.8270633812511,483,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,155.85298224223712,480,3
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,152.9307388251952,471,3
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,151.9566576861812,468,3
Bis1TuBsovjuRTEP7C9wuHgp6A4ic8D7a75fD,150.9825765471672,465,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,150.9825765471672,465,3
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,150.00849540815324,462,3
b8e698507cd7b1aeb5b6b17d5b505278717b757d68f17b53810aafc2,145.13808971308333,447,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,144.16400857406933,444,3
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,139.29360287899942,429,3
Bis1PGTBDNezvbYfPWBJ3hsUHfqgrMjbhdqFb,105.52545672651472,325,2
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,50.00283180271774,154,1
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,26.949578179386837,83,1
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,13.637135946195748,42,0
