reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,11205.213676011008,14112,243
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,819.4288912729138,1032,12
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,640.774336489575,807,9
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,626.481972106908,789,15
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,428.7709314800131,540,6
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,247.73431596622976,312,6
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,238.2060730444517,300,3
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,223.9137086617846,282,3
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,221.53164793134007,279,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,221.53164793134007,279,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,216.76752647045106,273,3
0a2df6c7ee23224296e5bc0fad73d3b4e6aca048672e7891200c25ba,214.38546574000654,270,3
da505dbbc7dfe2c1097c6fea30d703fef6103fc26741f91aefd32ed4,209.6213442791175,264,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,209.6213442791175,264,3
6046c5e3b85ccd994f368ab6d48da404b66414d44b0aaf23e07a518b,207.23928354867297,261,3
b8e698507cd7b1aeb5b6b17d5b505278717b757d68f17b53810aafc2,195.3289798964504,246,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,192.94691916600587,243,3
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,185.80073697467233,234,3
80c6925f153fab19a8534f181b01c4a55f6dd99a65e07a2c1043609b,116.72097579178133,147,3
40e3c0978d05b13caa55e714d80951a8d88ea8a0cd45ce165c589ba1,107.19273287000327,135,0
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,73.84388264378002,93,1
64f3f4ed81973a476e27d0b1136111e65a74755e11b426cb45eb648f,54.78739680022389,69,0
76a5ac702856a627f99a2e192c121e83fcad7f05beecad685ff88c67,52.40533606977937,66,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,46.05317412192733,58,1
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,40.495032417556786,51,0
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,26.202668034889687,33,0
