reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,12243.457765667576,37212,249
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,838.9986376021799,2550,18
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,710.6811989100818,2160,15
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,340.53474114441417,1035,9
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,298.09128065395095,906,6
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,159.9032697547684,486,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,154.96798365122615,471,3
Bis1TuBsovjuRTEP7C9wuHgp6A4ic8D7a75fD,149.04564032697547,453,3
80c6925f153fab19a8534f181b01c4a55f6dd99a65e07a2c1043609b,149.04564032697547,453,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,142.13623978201636,432,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,141.1491825613079,429,3
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,141.1491825613079,429,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,141.1491825613079,429,3
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,113.51158038147139,345,3
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,80.93869209809264,246,3
Bis1PGTBDNezvbYfPWBJ3hsUHfqgrMjbhdqFb,48.036784741144416,146,1
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,42.44346049046322,129,1
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,28.62465940054496,87,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,15.134877384196185,46,0
