reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,7310.296718074909,28356,210
25125e9bb305fafd51ceb2858d355f77da99550b933ec0923cd156ff,1894.6032790637787,7349,47
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,774.9595124324015,3006,21
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,570.7785630490142,2214,15
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,484.9297547855447,1881,12
159e0c8e827fd639e5cd3218e8d2e9cc4d886e5bd9f8a297d2cb07be,483.3829294114281,1875,12
64e37562f190ae58127b0b81492ee62cfab836a67717a6a199af71ca,385.9329308420842,1497,12
162662f1e1886146a46607c8fce964bff7397aba5ed56ca0a9b0c541,362.7305502303356,1407,9
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,356.54324873386935,1383,9
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,337.9813442444705,1311,9
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,331.02063006094596,1284,9
47ecd07483b32b8f8076e318395b8dd1a8b078c41cc66bcecaec08e6,241.30475836218488,936,6
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,228.15674268219405,885,6
6046c5e3b85ccd994f368ab6d48da404b66414d44b0aaf23e07a518b,197.99364788692094,768,3
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,133.8003948610833,519,3
e93a50b32976bd83a912bc428dceaab9eb2dc5fdf9959ef9a218b79e,126.06626799050045,489,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,125.29285530344215,486,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,125.29285530344215,486,3
a15ca6cc014074776803e14292747cdecf496c08facc2cf60cbd277e,124.51944261638387,483,3
3d558a4a808c594bc27e15762085b911fe489bbdcaf443fa37711585,124.51944261638387,483,3
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,123.74602992932559,480,3
dea211d45553bf1f2105c3b6d65bc32f7fe5fce844057691c245843c,122.9726172422673,477,3
a114bdae50d9c9fc0b56b0ba2029e10dc60b1e00c6b4606ed757fe5b,122.9726172422673,477,3
0f0c8d7ef92ec70f0dbc776f7050cbf202bb1e72843de265bc36cdc2,122.9726172422673,477,3
877413f0eb5b4d1a6a830d82bc5df97c3d132f056218ecc02678c0f2,122.19920455520902,474,3
f4e1fbd2169b13b3eebc5b35b7f9ef24b5f6c2f266d2c13ef83cd082,121.42579186815074,471,3
e009e8f72ddf5bd9ac7869caae7867311d0a9d825d29a6afd41a4f52,121.42579186815074,471,3
650c004ca08a178afcc78501ac55143391c8981480a675ed20cdcc75,121.42579186815074,471,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,120.65237918109244,468,3
44b2deef011d6ff6325e20a8f49384080432069545b9f85c790011c0,120.65237918109244,468,3
d5547b3af96c83e0b06826307469e4f303b852b98e86e426efb6dfdd,119.87896649403416,465,3
a6e8b8cc5fb4d6aed794b71288e50ea16f0580df7b71d91671309b4a,119.10555380697588,462,3
a34311a3c1eb263325d2fcdaf91a87697fbe64593f06e1b3e5197551,119.10555380697588,462,3
41b3b1c6413f304fdd07adb63a19d5e0d3c44c9b6209a2f21a72f5d6,117.55872843285931,456,3
616cf46dec5e292034a3b9e88315a2161ec3f927f279e922e55a770f,116.78531574580103,453,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,116.01190305874275,450,3
8d5243d701bd906ebef88a1c52a15a05a2c62f3ccdb923faafcc6c18,116.01190305874275,450,3
21469f889f1725a1682b80fe6f76ed59caf5d3f8c1111edc7680caf2,115.23849037168445,447,0
31a83e600597f604c68d97d155da012df526ca6f1839441231984af7,114.46507768462617,444,3
d72819228c96f4fafa79439ecae62f82e90fa56a2cd47e141ccf832f,112.14483962345132,435,3
da505dbbc7dfe2c1097c6fea30d703fef6103fc26741f91aefd32ed4,110.59801424933474,429,3
80c6925f153fab19a8534f181b01c4a55f6dd99a65e07a2c1043609b,98.22341125640219,381,3
1031bccca9d7f7a5dd01e86604e1d572e1b136a26586b076c1ca219e,71.9273798964205,279,3
a8bad012160bed7b93d25364d26e641ff6ee9fa3e5b25d23834797c1,66.5134910870125,258,3
0a2df6c7ee23224296e5bc0fad73d3b4e6aca048672e7891200c25ba,64.19325302583765,249,3
ffb624a6ef581a5147801954b36d37ffea125938e64cbb58516abc02,57.49034307133251,223,0
df10a9fb3ea1e25f89c433c63ca992bee48ff49547f15eded1473a0e,54.138888094079945,210,0
69e6b8a423d88c709f98a9ac9c6108d81c662b777c10914fa75ea949,49.498411971730235,192,0
40e3c0978d05b13caa55e714d80951a8d88ea8a0cd45ce165c589ba1,42.53769778820567,165,0
77b14edabce33458b6a458297af141382701edf06e3ea494a12641bf,40.733068185069676,158,1
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,39.70185126899196,154,1
9575b1036896f1077a6dcd9cd02b8c73e93f0914e5c1b56b4ce1e351,36.86600474977825,143,0
ba7402e5fa5b5aac0bd53922637f96df2eb0e3209f59d7e1f0fd470a,30.936507482331397,120,0
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,28.61626942115654,111,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,27.84285673409826,108,1
76a5ac702856a627f99a2e192c121e83fcad7f05beecad685ff88c67,27.069444047039973,105,0
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,23.20238061174855,90,0
64f3f4ed81973a476e27d0b1136111e65a74755e11b426cb45eb648f,22.428967924690262,87,0
991ad7c8549e7c0f786726fddb4adb7383c747a51c655a1f8d2798ac,15.468253741165698,60,0
d2f59465568c120a9203f9bd6ba2169b21478f4e7cb713f61eaa1ea0,5.156084580388566,20,0
