reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,11566.84717853839,17835,231
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,770.4745975948196,1188,15
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,618.7144495837188,954,12
6046c5e3b85ccd994f368ab6d48da404b66414d44b0aaf23e07a518b,608.9862349676225,939,15
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,404.6937280296022,624,9
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,317.13979648473634,489,6
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,317.13979648473634,489,6
25125e9bb305fafd51ceb2858d355f77da99550b933ec0923cd156ff,317.13979648473634,489,6
41b3b1c6413f304fdd07adb63a19d5e0d3c44c9b6209a2f21a72f5d6,161.48836262719703,249,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,161.48836262719703,249,3
f4e1fbd2169b13b3eebc5b35b7f9ef24b5f6c2f266d2c13ef83cd082,159.5427197039778,246,3
650c004ca08a178afcc78501ac55143391c8981480a675ed20cdcc75,157.59707678075856,243,3
d5547b3af96c83e0b06826307469e4f303b852b98e86e426efb6dfdd,155.6514338575393,240,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,155.6514338575393,240,3
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,155.6514338575393,240,3
da505dbbc7dfe2c1097c6fea30d703fef6103fc26741f91aefd32ed4,153.70579093432008,237,3
44b2deef011d6ff6325e20a8f49384080432069545b9f85c790011c0,153.70579093432008,237,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,153.70579093432008,237,3
31a83e600597f604c68d97d155da012df526ca6f1839441231984af7,153.70579093432008,237,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,151.76014801110082,234,3
b8e698507cd7b1aeb5b6b17d5b505278717b757d68f17b53810aafc2,147.86886216466235,228,3
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,138.14064754856614,213,3
40e3c0978d05b13caa55e714d80951a8d88ea8a0cd45ce165c589ba1,91.44521739130435,141,0
8d5243d701bd906ebef88a1c52a15a05a2c62f3ccdb923faafcc6c18,79.7713598519889,123,0
77b14edabce33458b6a458297af141382701edf06e3ea494a12641bf,51.235263644773354,79,1
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,50.586716003700275,78,1
76a5ac702856a627f99a2e192c121e83fcad7f05beecad685ff88c67,50.586716003700275,78,0
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,33.0759296947271,51,0
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,25.293358001850137,39,0
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,23.3477150786309,36,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,23.3477150786309,36,0
64f3f4ed81973a476e27d0b1136111e65a74755e11b426cb45eb648f,17.510786308973174,27,0
