reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,11259.747795885653,31536,228
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,1183.6017232166712,3315,24
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,670.5291210259151,1878,15
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,455.231432006412,1275,9
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,342.7624899812984,960,6
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,281.70792145337964,789,6
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,158.5276516163505,444,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,158.5276516163505,444,3
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,154.24312049158428,432,3
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,151.02972214800963,423,3
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,149.95858936681807,420,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,147.81632380443494,414,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,146.7451910232434,411,3
b8e698507cd7b1aeb5b6b17d5b505278717b757d68f17b53810aafc2,145.67405824205184,408,3
Bis1TuBsovjuRTEP7C9wuHgp6A4ic8D7a75fD,139.24726155490248,390,3
0a2df6c7ee23224296e5bc0fad73d3b4e6aca048672e7891200c25ba,136.0338632113278,381,3
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,117.82460593107133,330,3
Bis1PGTBDNezvbYfPWBJ3hsUHfqgrMjbhdqFb,105.68510107756701,296,2
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,48.91506367441446,137,1
76a5ac702856a627f99a2e192c121e83fcad7f05beecad685ff88c67,28.920585092172054,81,0
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,24.636053967405825,69,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,23.207876925817082,65,0
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,6.426796687149346,18,0
